iter	Logloss
0	0.6051974106
1	0.5281548309
2	0.4603681564
3	0.4050102234
4	0.355076828
5	0.311434803
6	0.2724843216
7	0.2382793236
8	0.2088031769
9	0.1841326332
10	0.1644387245
11	0.1467321968
12	0.1322298241
13	0.1172578049
14	0.104933548
15	0.09364330292
16	0.0843706131
17	0.07537294865
18	0.06734778404
19	0.06048205376
20	0.05489713669
21	0.05042562485
22	0.04572312832
23	0.04141774178
24	0.03734510183
25	0.03406736612
26	0.03113075495
27	0.0286736393
28	0.02649013996
29	0.02447489262
30	0.02259801388
31	0.02087110996
32	0.01932975769
33	0.01806867599
34	0.01682353616
35	0.01575199842
36	0.01470132589
37	0.01371821165
38	0.01284316182
39	0.01203598022
40	0.01126226783
41	0.01063539624
42	0.01000275016
43	0.009469227195
44	0.008905887008
45	0.008414195776
46	0.008030637503
47	0.007638811469
48	0.007225760818
49	0.00688454628
50	0.006533843279
51	0.006174622774
52	0.005872526169
53	0.005609029531
54	0.005368915796
55	0.005142014623
56	0.004930804968
57	0.004733732939
58	0.004553279281
59	0.004352321625
60	0.004215584993
61	0.004074771106
62	0.00393761456
63	0.003797410727
64	0.003654004335
65	0.003512662649
66	0.003391780555
67	0.003261112273
68	0.003156270981
69	0.003052483201
70	0.002967256904
71	0.002856399119
72	0.002767245173
73	0.002675328851
74	0.002591872215
75	0.002513704896
76	0.002440110594
77	0.002363603115
78	0.002300438434
79	0.002240813076
80	0.0021801503
81	0.00212048769
82	0.002062068731
83	0.00200661242
84	0.00195141077
85	0.001908909976
86	0.001855131984
87	0.001810833514
88	0.001771092862
89	0.001733171046
90	0.001683300734
91	0.001649255008
92	0.001613611281
93	0.001573219746
94	0.001535972357
95	0.001504608989
96	0.001475892961
97	0.001447397172
98	0.001420705765
99	0.00139592573
100	0.001364530176
101	0.001334747076
102	0.001314225346
103	0.001289972216
104	0.001268230677
105	0.001243752241
106	0.001217502877
107	0.001194709837
108	0.001174331307
109	0.001155072898
110	0.001135866866
111	0.001110679656
112	0.001092146263
113	0.001075115204
114	0.001058695018
115	0.00104060106
116	0.001025614366
117	0.001010798886
118	0.0009956270456
119	0.000979629755
120	0.000963896513
121	0.0009506443888
122	0.0009346266091
123	0.0009206535667
124	0.0009074067324
125	0.0008963893354
126	0.0008844017237
127	0.0008722679317
128	0.0008619805425
129	0.0008412227035
130	0.0008320119232
131	0.0008320146799
132	0.0008199800551
133	0.000808711797
134	0.0007994396985
135	0.0007994604111
136	0.0007994437218
137	0.0007894098759
138	0.0007893676311
139	0.0007893776894
140	0.0007797338068
141	0.0007675199956
142	0.0007675195485
143	0.00075520657
144	0.0007552277297
145	0.0007551889867
146	0.0007551889867
147	0.0007551923394
148	0.0007552011311
149	0.0007462687045
150	0.0007462806255
151	0.0007356725633
152	0.0007356376946
153	0.0007356376946
154	0.0007355926931
155	0.000728181228
156	0.0007192447782
157	0.0007192255557
158	0.000709848851
159	0.0007098571956
160	0.0007098650932
161	0.0007098748535
162	0.0006988748908
163	0.0006988507509
164	0.0006988507509
165	0.0006988655031
166	0.0006988396496
167	0.0006988139451
168	0.0006987866759
169	0.0006919436157
170	0.0006849092245
171	0.000684941113
172	0.0006768127531
173	0.0006693269312
174	0.000669336319
175	0.0006693218648
176	0.0006693215668
177	0.0006693215668
178	0.0006621573865
179	0.0006621222198
180	0.0006620591879
181	0.0006620700657
182	0.000662060678
183	0.0006620644033
184	0.0006620429456
185	0.0006620834768
186	0.0006620103866
187	0.0006620541215
188	0.0006620541215
189	0.0006620343029
190	0.0006620343029
191	0.0006505215168
192	0.0006505030394
193	0.0006505244225
194	0.0006494254619
195	0.0006493958831
196	0.0006494152546
197	0.0006493879855
198	0.0006493419409
199	0.0006493151188
